         547901 function calls (544481 primitive calls) in 33.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_Version)
        1    0.000    0.000    0.000    0.000 <string>:5(manifest_mod)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.258    0.258 Animation.py:11(load)
     1303    0.009    0.000    2.471    0.002 Background.py:12(draw)
     1303    0.014    0.000    0.019    0.000 Background.py:18(update_position)
        1    0.002    0.002    8.693    8.693 Background.py:6(__init__)
      407    0.001    0.000    0.001    0.000 Bot.py:108(move)
     3909    0.012    0.000    0.015    0.000 Bot.py:114(choose_action)
     3909    0.023    0.000    0.981    0.000 Bot.py:48(update)
        3    0.001    0.000    0.609    0.203 Bot.py:5(__init__)
     3909    0.040    0.000    0.911    0.000 Bot.py:64(rotate)
        3    0.000    0.000    0.608    0.203 Bot.py:78(load_animation)
     3909    0.018    0.000    0.023    0.000 Bot.py:95(choose_animation)
     3909    0.068    0.000    0.823    0.000 ExtendedGroup.py:15(draw)
     1466    0.008    0.000    0.034    0.000 ExtendedGroup.py:8(handle_event)
     1303    0.006    0.000    3.577    0.003 Light.py:14(draw)
        1    0.000    0.000    0.018    0.018 Light.py:4(__init__)
        1    0.000    0.000    0.135    0.135 Menu.py:12(__init__)
     2407    0.013    0.000    1.965    0.001 Menu.py:39(on_render)
      112    0.001    0.000    0.001    0.000 Menu.py:42(on_event)
      112    0.001    0.000    0.099    0.001 Menu.py:47(interactive)
        1    0.000    0.000    0.025    0.025 Menu.py:92(make_prompt)
        1    0.091    0.091    2.298    2.298 Menu.py:99(intro)
     1303    0.007    0.000    1.189    0.001 Player.py:125(update)
     1303    0.006    0.000    0.498    0.000 Player.py:132(draw)
     1185    0.008    0.000    0.205    0.000 Player.py:149(move)
     1185    0.040    0.000    0.153    0.000 Player.py:178(is_possible_direction)
     1303    0.030    0.000    0.937    0.001 Player.py:198(rotate)
     1466    0.012    0.000    0.015    0.000 Player.py:221(handle_event)
     1303    0.028    0.000    0.238    0.000 Player.py:269(react_to_event)
     1303    0.006    0.000    0.007    0.000 Player.py:296(choose_animation)
      113    0.036    0.000    0.044    0.000 Player.py:5(get_normal)
        1    0.000    0.000    0.003    0.003 Player.py:56(__init__)
    13899    0.106    0.000    0.182    0.000 Projectiles.py:27(is_possible_direction)
      449    0.028    0.000    0.061    0.000 Projectiles.py:4(__init__)
    13899    0.045    0.000    0.231    0.000 Projectiles.py:45(update)
        1    0.001    0.001    0.001    0.001 Sound.py:11(load)
     1303    0.006    0.000    0.146    0.000 Statistics.py:18(draw)
     1303    0.002    0.000    0.032    0.000 Statistics.py:22(draw_weapon)
     1303    0.018    0.000    0.108    0.000 Statistics.py:25(draw_score)
        1    0.000    0.000    0.005    0.005 Statistics.py:4(__init__)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1006(_ReqExtras)
        1    0.000    0.000    0.000    0.000 __init__.py:1026(Environment)
        1    0.000    0.000    0.000    0.000 __init__.py:1166(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1182(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1186(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1189(resource_exists)
        2    0.000    0.000    0.000    0.000 __init__.py:1205(resource_stream)
       12    0.000    0.000    0.001    0.000 __init__.py:1372(safe_name)
       14    0.000    0.000    0.001    0.000 __init__.py:1380(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1438(NullProvider)
        4    0.000    0.000    0.000    0.000 __init__.py:1445(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1458(has_resource)
        8    0.000    0.000    0.000    0.000 __init__.py:1461(has_metadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1464(get_metadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1470(get_metadata_lines)
       12    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
       14    0.000    0.000    0.000    0.000 __init__.py:1522(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1538(EggProvider)
        4    0.000    0.000    0.000    0.000 __init__.py:1541(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1545(_setup_prefix)
