         547901 function calls (544481 primitive calls) in 33.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
        1    0.000    0.000    0.000    0.000 header.py:179(Header)
        1    0.000    0.000    0.000    0.000 header.py:413(_ValueFormatter)
        1    0.000    0.000    0.007    0.007 header.py:5(<module>)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
    11202    0.010    0.000    0.010    0.000 helpers.py:102(increment)
     3909    0.009    0.000    0.009    0.000 helpers.py:12(scenario_to_screen)
     2488    0.006    0.000    0.006    0.000 helpers.py:34(background_center_position)
       14    0.001    0.000    0.014    0.001 helpers.py:80(scale_image_list)
        1    0.000    0.000    0.000    0.000 helpers.py:89(scale_image)
       14    0.002    0.000    0.851    0.061 helpers.py:94(load_image_list)
       75    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       75    0.000    0.000    0.002    0.000 linecache.py:15(getline)
       75    0.000    0.000    0.002    0.000 linecache.py:37(getlines)
       25    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
        1    0.000    0.000    0.002    0.002 linecache.py:82(updatecache)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.000    0.000 machinery.py:1(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:25(InvalidMarker)
        1    0.000    0.000    0.000    0.000 markers.py:258(Marker)
        1    0.000    0.000    0.000    0.000 markers.py:31(UndefinedComparison)
        1    0.000    0.000    0.000    0.000 markers.py:37(UndefinedEnvironmentName)
        1    0.000    0.000    0.003    0.003 markers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:44(Node)
        1    0.000    0.000    0.000    0.000 markers.py:56(Variable)
        1    0.000    0.000    0.000    0.000 markers.py:60(Value)
        1    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
        1    0.000    0.000    0.000    0.000 os.py:672(__setitem__)
        3    0.000    0.000    0.000    0.000 os.py:742(encode)
        1    0.000    0.000    0.000    0.000 os.py:794(fsencode)
        1    0.000    0.000    0.000    0.000 parser.py:127(BytesHeaderParser)
        1    0.000    0.000    0.000    0.000 parser.py:17(Parser)
        1    0.000    0.000    0.018    0.018 parser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:72(HeaderParser)
        1    0.000    0.000    0.000    0.000 parser.py:80(BytesParser)
        1    0.000    0.000    0.332    0.332 pkgdata.py:18(<module>)
        2    0.000    0.000    0.001    0.000 pkgdata.py:34(getResource)
        1    0.000    0.000    0.001    0.001 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:191(ImpImporter)
        1    0.000    0.000    0.000    0.000 pkgutil.py:265(ImpLoader)
       14    0.000    0.000    0.000    0.000 pkgutil.py:402(get_importer)
        1    0.000    0.000    0.018    0.018 platform.py:10(<module>)
        1    0.000    0.000    0.000    0.000 plistlib.py:109(Dict)
        1    0.000    0.000    0.000    0.000 plistlib.py:127(Plist)
        1    0.000    0.000    0.000    0.000 plistlib.py:204(Data)
        1    0.000    0.000    0.000    0.000 plistlib.py:312(_PlistParser)
        1    0.000    0.000    0.000    0.000 plistlib.py:416(_DumbXMLWriter)
        1    0.000    0.000    0.000    0.000 plistlib.py:454(_PlistWriter)
        1    0.000    0.000    0.009    0.009 plistlib.py:47(<module>)
        1    0.000    0.000    0.000    0.000 plistlib.py:587(InvalidFileException)
        1    0.000    0.000    0.000    0.000 plistlib.py:595(_BinaryPlistParser)
        1    0.000    0.000    0.000    0.000 plistlib.py:764(_BinaryPlistWriter)
        1    0.000    0.000    0.000    0.000 plistlib.py:79(_InternalDict)
       32    0.000    0.000    0.000    0.000 posixpath.py:102(split)
      865    0.002    0.000    0.008    0.000 posixpath.py:119(splitext)
       11    0.000    0.000    0.000    0.000 posixpath.py:152(dirname)
       45    0.000    0.000    0.000    0.000 posixpath.py:166(islink)
        7    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
        7    0.000    0.000    0.000    0.000 posixpath.py:367(abspath)
        7    0.000    0.000    0.001    0.000 posixpath.py:382(realpath)
      128    0.000    0.000    0.000    0.000 posixpath.py:39(_get_sep)
        7    0.000    0.000    0.001    0.000 posixpath.py:391(_joinrealpath)
        7    0.000    0.000    0.000    0.000 posixpath.py:50(normcase)
       14    0.000    0.000    0.000    0.000 posixpath.py:62(isabs)
       71    0.000    0.000    0.001    0.000 posixpath.py:73(join)
       26    0.000    0.000    0.004    0.000 pyparsing.py:1016(_trim_arity)
       25    0.000    0.000    0.004    0.000 pyparsing.py:1024(extract_stack)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1080(ParserElement)
      337    0.002    0.000    0.002    0.000 pyparsing.py:1121(__init__)
      471    0.001    0.000    0.009    0.000 pyparsing.py:1144(copy)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1167(setName)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1181(setResultsName)
       24    0.000    0.000    0.004    0.000 pyparsing.py:1227(setParseAction)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1265(addParseAction)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1275(addCondition)
       64    0.000    0.000    0.000    0.000 pyparsing.py:1328(preParse)
       46    0.000    0.000    0.000    0.000 pyparsing.py:1343(postParse)
    106/2    0.001    0.000    0.002    0.001 pyparsing.py:1347(_parseNoCache)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1433(_UnboundedCache)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1452(_FifoCache)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1530(resetCache)
        2    0.000    0.000    0.003    0.001 pyparsing.py:1571(parseString)
        1    0.000    0.000    0.000    0.000 pyparsing.py:160(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:172(_Constants)
       83    0.000    0.000    0.002    0.000 pyparsing.py:1780(__add__)
       95    0.000    0.000    0.000    0.000 pyparsing.py:180(<genexpr>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1800(__radd__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:182(ParseBaseException)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1836(__mul__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:186(__init__)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1885(makeOptionalList)
       49    0.000    0.000    0.001    0.000 pyparsing.py:1907(__or__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1931(__xor__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1979(__invert__)
       14    0.000    0.000    0.001    0.000 pyparsing.py:1985(__call__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2004(suppress)
       78    0.000    0.000    0.000    0.000 pyparsing.py:2011(leaveWhitespace)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2020(setWhitespaceChars)
      105    0.000    0.000    0.000    0.000 pyparsing.py:2112(__str__)
       65    0.000    0.000    0.000    0.000 pyparsing.py:2118(streamline)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2323(Token)
      121    0.000    0.000    0.001    0.000 pyparsing.py:2327(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2331(Empty)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2335(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2342(NoMatch)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2357(Literal)
       69    0.000    0.000    0.001    0.000 pyparsing.py:2371(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:238(ParseException)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2390(parseImpl)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2398(Keyword)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2463(CaselessLiteral)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2486(CaselessKeyword)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2504(CloseMatch)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2565(Word)
        1    0.000    0.000    0.000    0.000 pyparsing.py:259(ParseFatalException)
       13    0.000    0.000    0.005    0.000 pyparsing.py:2612(__init__)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2615(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:264(ParseSyntaxException)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2666(parseImpl)
       30    0.000    0.000    0.000    0.000 pyparsing.py:2701(__str__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2710(charsAsStr)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2724(Regex)
       27    0.000    0.000    0.036    0.001 pyparsing.py:2738(__init__)
       24    0.000    0.000    0.000    0.000 pyparsing.py:2772(parseImpl)
       49    0.000    0.000    0.000    0.000 pyparsing.py:2785(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2797(QuotedString)
        2    0.000    0.000    0.001    0.000 pyparsing.py:2822(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:283(RecursiveGrammarException)
        1    0.000    0.000    0.000    0.000 pyparsing.py:291(_ParseResultsWithOffset)
        4    0.000    0.000    0.000    0.000 pyparsing.py:292(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2922(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2934(CharsNotIn)
       16    0.000    0.000    0.000    0.000 pyparsing.py:294(__getitem__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3005(White)
        1    0.000    0.000    0.000    0.000 pyparsing.py:301(ParseResults)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3020(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3023(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3025(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3056(_PositionToken)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3057(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3063(GoToColumn)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3089(LineStart)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3110(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3119(LineEnd)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3123(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3139(StringStart)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3143(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3154(StringEnd)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3158(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3172(WordStart)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3192(WordEnd)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3215(ParseExpression)
      134    0.001    0.000    0.002    0.000 pyparsing.py:3219(__init__)
      268    0.000    0.000    0.000    0.000 pyparsing.py:3229(<genexpr>)
    61/11    0.000    0.000    0.007    0.001 pyparsing.py:3247(leaveWhitespace)
       61    0.000    0.000    0.005    0.000 pyparsing.py:3251(<listcomp>)
     20/4    0.000    0.000    0.001    0.000 pyparsing.py:3278(streamline)
        4    0.000    0.000    0.001    0.000 pyparsing.py:3312(setResultsName)
   131/65    0.000    0.000    0.007    0.000 pyparsing.py:3322(copy)
   131/65    0.000    0.000    0.006    0.000 pyparsing.py:3324(<listcomp>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3327(And)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3343(_ErrorStop)
       84    0.000    0.000    0.002    0.000 pyparsing.py:3349(__init__)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3351(<genexpr>)
     10/2    0.000    0.000    0.002    0.001 pyparsing.py:3356(parseImpl)
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3393(__str__)
       41    0.000    0.000    0.000    0.000 pyparsing.py:3398(<genexpr>)
       82    0.000    0.000    0.000    0.000 pyparsing.py:340(__new__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3403(Or)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3417(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3420(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3482(MatchFirst)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
       49    0.000    0.000    0.001    0.000 pyparsing.py:3499(__init__)
      141    0.000    0.000    0.000    0.000 pyparsing.py:3502(<genexpr>)
     20/8    0.000    0.000    0.002    0.000 pyparsing.py:3506(parseImpl)
       15    0.000    0.000    0.000    0.000 pyparsing.py:3535(__str__)
       50    0.000    0.000    0.000    0.000 pyparsing.py:3540(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3550(Each)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3674(ParseElementEnhance)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3678(__init__)
     16/2    0.000    0.000    0.002    0.001 pyparsing.py:3696(parseImpl)
    36/11    0.000    0.000    0.009    0.001 pyparsing.py:3702(leaveWhitespace)
     15/4    0.000    0.000    0.001    0.000 pyparsing.py:3721(streamline)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3740(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3751(FollowedBy)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3777(NotAny)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3788(__init__)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3800(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3809(_MultipleMatch)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3810(__init__)
        2    0.000    0.000    0.002    0.001 pyparsing.py:3818(parseImpl)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3847(OneOrMore)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3873(__str__)
       24    0.000    0.000    0.000    0.000 pyparsing.py:388(__getitem__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3882(ZeroOrMore)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3894(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3913(_NullToken)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3921(Optional)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3956(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3962(parseImpl)
        4    0.000    0.000    0.000    0.000 pyparsing.py:397(__setitem__)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3976(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3985(SkipTo)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4100(Forward)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4119(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4122(__lshift__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4173(copy)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4181(_ForwardNoRecurse)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4185(TokenConverter)
       38    0.000    0.000    0.001    0.000 pyparsing.py:4189(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4193(Combine)
       12    0.000    0.000    0.009    0.001 pyparsing.py:4210(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4237(Group)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4251(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4255(postParse)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4258(Dict)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4294(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4323(Suppress)
        4    0.000    0.000    0.000    0.000 pyparsing.py:4342(postParse)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4349(OnlyOnce)
       18    0.000    0.000    0.000    0.000 pyparsing.py:435(__bool__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:437(__iter__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4409(delimitedList)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4524(_escapeRegexRangeChars)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4640(originalTextFor)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4716(<lambda>)
        2    0.000    0.000    0.003    0.001 pyparsing.py:4722(srange)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4740(<genexpr>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4740(<lambda>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4742(<genexpr>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4784(tokenMap)
        6    0.000    0.000    0.000    0.000 pyparsing.py:483(haskeys)
        1    0.000    0.000    0.003    0.003 pyparsing.py:4834(_makeTags)
       94    0.000    0.000    0.000    0.000 pyparsing.py:4849(<genexpr>)
        1    0.000    0.000    0.003    0.003 pyparsing.py:4863(makeHTMLTags)
        1    0.000    0.000    0.017    0.017 pyparsing.py:5353(pyparsing_common)
        1    0.000    0.000    0.038    0.038 pyparsing.py:61(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:621(__getattr__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:640(__iadd__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:643(<lambda>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:645(<listcomp>)
        1    0.000    0.000    0.287    0.287 pyshooter.py:105(on_cleanup)
     1303    0.076    0.000   11.316    0.009 pyshooter.py:109(on_render)
        1    0.033    0.033   33.652   33.652 pyshooter.py:145(on_execute)
        1    0.000    0.000    0.000    0.000 pyshooter.py:23(__init__)
        1    0.000    0.000   12.429   12.429 pyshooter.py:29(on_init)
     1466    0.020    0.000    0.124    0.000 pyshooter.py:85(on_event)
     1303    0.012    0.000    0.448    0.000 pyshooter.py:95(display_fps)
     1303    0.032    0.000    9.408    0.007 pyshooter.py:98(on_loop)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       12    0.000    0.000    0.001    0.000 re.py:184(sub)
       77    0.000    0.000    0.110    0.001 re.py:231(compile)
        4    0.000    0.000    0.000    0.000 re.py:249(escape)
       89    0.002    0.000    0.110    0.001 re.py:286(_compile)
        1    0.000    0.000    0.000    0.000 requirements.py:18(InvalidRequirement)
        1    0.000    0.000    0.073    0.073 requirements.py:4(<module>)
        1    0.000    0.000    0.000    0.000 requirements.py:75(Requirement)
        1    0.000    0.000    0.000    0.000 selectors.py:198(__enter__)
        4    0.000    0.000    0.000    0.000 selectors.py:20(_fileobj_to_fd)
        1    0.000    0.000    0.000    0.000 selectors.py:201(__exit__)
        1    0.000    0.000    0.000    0.000 selectors.py:208(__init__)
        4    0.000    0.000    0.000    0.000 selectors.py:214(_fileobj_lookup)
        2    0.000    0.000    0.000    0.000 selectors.py:233(register)
        2    0.000    0.000    0.000    0.000 selectors.py:246(unregister)
        1    0.000    0.000    0.000    0.000 selectors.py:268(close)
        8    0.000    0.000    0.000    0.000 selectors.py:272(get_map)
        8    0.000    0.000    0.000    0.000 selectors.py:275(_key_from_fd)
        1    0.000    0.000    0.000    0.000 selectors.py:346(__init__)
        2    0.000    0.000    0.000    0.000 selectors.py:350(register)
        2    0.000    0.000    0.000    0.000 selectors.py:360(unregister)
        7    0.000    0.000    0.011    0.002 selectors.py:365(select)
        1    0.000    0.000    0.000    0.000 selectors.py:62(__init__)
        8    0.000    0.000    0.000    0.000 selectors.py:65(__len__)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:103(MovedModule)
       43    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 six.py:114(_resolve)
        1    0.000    0.000    0.000    0.000 six.py:124(_LazyModule)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
        1    0.000    0.000    0.000    0.000 six.py:139(MovedAttribute)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
        2    0.000    0.000    0.000    0.000 six.py:159(_resolve)
        1    0.000    0.000    0.000    0.000 six.py:164(_SixMetaPathImporter)
        1    0.000    0.000    0.000    0.000 six.py:173(__init__)
       50    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        5    0.000    0.000    0.000    0.000 six.py:181(_get_module)
        3    0.000    0.000    0.000    0.000 six.py:184(find_module)
        6    0.000    0.000    0.000    0.000 six.py:189(__get_module)
        3    0.000    0.000    0.000    0.000 six.py:195(load_module)
        3    0.000    0.000    0.000    0.000 six.py:209(is_package)
        1    0.000    0.000    0.000    0.000 six.py:229(_MovedItems)
        1    0.000    0.000    0.000    0.000 six.py:320(Module_six_moves_urllib_parse)
        1    0.000    0.000    0.000    0.000 six.py:360(Module_six_moves_urllib_error)
        1    0.000    0.000    0.000    0.000 six.py:380(Module_six_moves_urllib_request)
        1    0.000    0.000    0.000    0.000 six.py:430(Module_six_moves_urllib_response)
        1    0.000    0.000    0.000    0.000 six.py:451(Module_six_moves_urllib_robotparser)
        1    0.000    0.000    0.000    0.000 six.py:469(Module_six_moves_urllib)
        8    0.000    0.000    0.000    0.000 six.py:75(_add_doc)
        1    0.000    0.000    0.000    0.000 six.py:80(_import_module)
        1    0.000    0.000    0.000    0.000 six.py:86(_LazyDescr)
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.000    0.000 specifiers.py:15(InvalidSpecifier)
        1    0.000    0.000    0.000    0.000 specifiers.py:21(BaseSpecifier)
        1    0.000    0.000    0.002    0.002 specifiers.py:214(LegacySpecifier)
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
        1    0.000    0.000    0.024    0.024 specifiers.py:275(Specifier)
        1    0.000    0.000    0.028    0.028 specifiers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 specifiers.py:589(SpecifierSet)
        1    0.000    0.000    0.000    0.000 specifiers.py:78(_IndividualSpecifier)
      453    0.002    0.000    0.002    0.000 sprite.py:121(__init__)
      453    0.000    0.000    0.000    0.000 sprite.py:162(add_internal)
      449    0.000    0.000    0.000    0.000 sprite.py:165(remove_internal)
        3    0.000    0.000    0.000    0.000 sprite.py:299(__init__)
    10587    0.050    0.000    0.050    0.000 sprite.py:303(sprites)
      453    0.001    0.000    0.001    0.000 sprite.py:316(add_internal)
      449    0.001    0.000    0.002    0.000 sprite.py:319(remove_internal)
      902    0.002    0.000    0.002    0.000 sprite.py:325(has_internal)
     1303    0.008    0.000    0.023    0.000 sprite.py:339(__iter__)
      454    0.005    0.000    0.009    0.000 sprite.py:345(add)
      449    0.002    0.000    0.005    0.000 sprite.py:380(remove)
     3909    0.043    0.000    2.463    0.001 sprite.py:452(update)
        3    0.000    0.000    0.000    0.000 sprite.py:550(__init__)
      905    0.000    0.000    0.001    0.000 sre_compile.py:102(fixup)
      306    0.001    0.000    0.010    0.000 sre_compile.py:223(_compile_charset)
      306    0.005    0.000    0.007    0.000 sre_compile.py:250(_optimize_charset)
       34    0.000    0.000    0.001    0.000 sre_compile.py:376(_mk_bitmap)
       34    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
      353    0.001    0.000    0.001    0.000 sre_compile.py:388(_simple)
       15    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
    81/62    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
       47    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
       72    0.001    0.000    0.003    0.000 sre_compile.py:482(_compile_info)
      144    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
       72    0.000    0.000    0.053    0.001 sre_compile.py:542(_code)
       72    0.001    0.000    0.107    0.001 sre_compile.py:557(compile)
   858/72    0.011    0.000    0.049    0.001 sre_compile.py:64(_compile)
        1    0.000    0.000    0.000    0.000 sre_parse.py:101(checklookbehindgroup)
      858    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1274    0.001    0.000    0.001    0.000 sre_parse.py:159(__len__)
     3619    0.004    0.000    0.005    0.000 sre_parse.py:163(__getitem__)
      353    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
     1279    0.001    0.000    0.001    0.000 sre_parse.py:171(append)
 1345/568    0.004    0.000    0.005    0.000 sre_parse.py:173(getwidth)
       72    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
    12788    0.011    0.000    0.011    0.000 sre_parse.py:232(__next)
     2627    0.001    0.000    0.002    0.000 sre_parse.py:248(match)
    11539    0.007    0.000    0.016    0.000 sre_parse.py:253(get)
       35    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
       54    0.000    0.000    0.001    0.000 sre_parse.py:266(getuntil)
     1112    0.001    0.000    0.001    0.000 sre_parse.py:285(tell)
      140    0.001    0.000    0.001    0.000 sre_parse.py:294(_class_escape)
      184    0.000    0.000    0.001    0.000 sre_parse.py:342(_escape)
   309/72    0.002    0.000    0.050    0.001 sre_parse.py:407(_parse_sub)
   453/76    0.016    0.000    0.049    0.001 sre_parse.py:470(_parse)
       72    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      424    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       72    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
      135    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
       72    0.001    0.000    0.052    0.001 sre_parse.py:844(parse)
      135    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 sre_parse.py:98(checkgroup)
        1    0.000    0.000    0.000    0.000 subprocess.py:1154(_get_handles)
        1    0.000    0.000    0.005    0.005 subprocess.py:1208(_execute_child)
        1    0.000    0.000    0.000    0.000 subprocess.py:1348(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 subprocess.py:1366(_internal_poll)
        1    0.000    0.000    0.000    0.000 subprocess.py:1401(_try_wait)
        2    0.000    0.000    0.000    0.000 subprocess.py:1414(wait)
        1    0.000    0.000    0.012    0.012 subprocess.py:1466(_communicate)
        1    0.000    0.000    0.000    0.000 subprocess.py:1563(_save_input)
        1    0.000    0.000    0.000    0.000 subprocess.py:203(_cleanup)
        1    0.000    0.000    0.005    0.005 subprocess.py:588(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:758(__del__)
        1    0.000    0.000    0.012    0.012 subprocess.py:803(communicate)
        9    0.000    0.000    0.000    0.000 subprocess.py:858(_remaining_time)
        7    0.000    0.000    0.000    0.000 subprocess.py:866(_check_timeout)
        1    0.000    0.000    0.000    0.000 sysconfig.py:604(get_platform)
        1    0.001    0.001    0.024    0.024 sysfont.py:158(initsysfonts_unix)
        1    0.000    0.000    0.000    0.000 sysfont.py:200(create_aliases)
        1    0.000    0.000    0.024    0.024 sysfont.py:226(initsysfonts)
        1    0.000    0.000    0.000    0.000 sysfont.py:240(font_constructor)
        1    0.000    0.000    0.024    0.024 sysfont.py:254(SysFont)
        1    0.000    0.000    0.000    0.000 sysfont.py:35(toascii)
      175    0.000    0.000    0.003    0.000 sysfont.py:52(_simplename)
     1894    0.001    0.000    0.002    0.000 sysfont.py:55(<genexpr>)
      174    0.000    0.000    0.000    0.000 sysfont.py:58(_addfont)
        1    0.000    0.000    0.001    0.001 textbox.py:20(process_kwargs)
        1    0.000    0.000    0.001    0.001 textbox.py:9(__init__)
        1    0.000    0.000    0.000    0.000 tokenize.py:355(detect_encoding)
        2    0.000    0.000    0.000    0.000 tokenize.py:379(read_or_stop)
